Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
England,2006,G72.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
England,2006,I42.6,0,0,0,0,0,0,2,1,6,6,10,15,12,13,8,8,2,0,0,0
England,2006,K29.2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
England,2006,K70,0,0,0,0,0,5,40,89,267,453,615,668,679,545,372,223,131,56,14,2
England,2006,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2006,K86.0,0,0,0,0,0,0,1,3,2,3,7,9,6,4,3,1,0,1,1,0
England,2006,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2006,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2006,X45,0,0,0,0,1,3,7,9,14,29,31,21,14,10,8,2,1,0,0,0
England,2006,X65,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
England,2006,Y15,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
England,2005,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,F10,0,0,0,0,2,5,9,34,40,58,86,87,78,64,26,22,15,5,7,1
England,2005,G31.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0
England,2005,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
England,2005,I42.6,0,0,0,0,0,0,0,2,2,10,9,11,9,13,4,5,4,5,1,0
England,2005,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
England,2005,K70,0,0,0,0,1,8,20,82,215,376,594,662,668,499,344,215,110,61,23,6
England,2005,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,K86.0,0,0,0,0,1,0,0,4,5,3,10,10,9,4,3,2,1,0,0,0
England,2005,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2005,X45,0,0,0,0,3,4,10,10,28,26,20,21,12,10,6,1,0,0,0,0
England,2005,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
England,2005,Y15,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0
England,2004,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2004,F10,0,0,0,0,0,6,8,20,47,61,74,65,58,44,29,24,12,7,5,1
England,2004,G31.2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,3,0,2,0,0,0
England,2004,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2004,G72.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
England,2004,I42.6,0,0,0,0,0,0,3,4,5,11,9,14,21,10,7,5,4,1,0,0
England,2004,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
England,2004,K70,0,0,0,0,0,3,28,89,219,395,533,623,612,484,346,247,111,59,16,3
England,2004,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2004,K86.0,0,0,0,0,0,0,1,3,7,2,6,8,5,5,2,3,1,0,0,0
England,2004,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2004,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2004,X45,0,0,0,0,1,3,5,11,22,23,26,22,8,6,0,3,0,0,0,0
England,2004,X65,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
England,2004,Y15,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
England,2003,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2003,F10,0,0,0,1,1,4,6,20,43,49,64,68,61,43,27,23,12,8,4,1
England,2003,G31.2,0,0,0,0,0,0,0,0,0,2,1,0,2,2,6,1,0,0,0,0
England,2003,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
England,2003,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2003,I42.6,0,0,0,0,0,0,1,0,4,6,10,17,17,22,9,9,1,1,2,0
England,2003,K29.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
England,2003,K70,0,0,0,0,0,6,38,100,244,403,541,592,622,433,353,198,117,45,12,2
England,2003,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2003,K86.0,0,0,0,0,0,0,0,3,2,1,4,7,6,3,3,1,1,1,0,0
England,2003,Q86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2003,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2003,X45,0,0,0,0,3,3,5,10,19,20,19,22,9,11,1,3,2,0,0,0
England,2003,X65,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
England,2003,Y15,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
England,2002,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2002,F10,0,0,0,0,0,5,13,25,32,47,57,69,69,41,29,16,12,6,5,3
England,2002,G31.2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,2,1,0,0,0,0
England,2002,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2002,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2002,I42.6,0,0,0,0,0,0,0,5,6,11,19,19,20,15,10,7,6,2,2,1
England,2002,K29.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
England,2002,K70,0,0,0,0,0,4,29,90,206,387,518,559,499,407,322,197,106,59,13,5
England,2002,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2002,K86.0,0,0,0,0,0,0,1,0,3,3,5,9,4,2,2,2,0,1,1,0
England,2002,Q86.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2002,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2002,X45,0,0,0,0,1,4,5,12,18,21,17,19,4,9,2,0,0,0,0,0
England,2002,X65,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
England,2002,Y15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
England,2001,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2001,F10,0,0,0,0,6,6,17,18,39,59,71,80,67,48,33,18,10,7,5,1
England,2001,G31.2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,2,0,0,0
England,2001,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2001,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2001,I42.6,0,0,0,0,0,0,0,2,6,17,13,20,19,8,11,3,5,2,0,1
England,2001,K29.2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
England,2001,K70,0,0,0,0,0,4,21,94,199,371,476,615,470,371,255,169,129,43,20,2
England,2001,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2001,K86.0,0,0,0,0,0,0,1,3,3,3,3,9,3,4,1,0,0,3,0,0
England,2001,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2001,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,2001,X45,0,0,0,0,3,4,2,15,21,17,23,10,15,8,6,0,2,0,0,0
England,2001,X65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
England,2001,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
