Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Northern Ireland,2009,K70,0,0,0,0,0,0,1,3,10,15,36,36,23,25,15,6,2,2,0,0
Northern Ireland,2009,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2009,K86.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
Northern Ireland,2009,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2009,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2009,X45,0,0,0,0,0,0,1,0,1,7,2,5,7,2,1,0,0,0,0,0
Northern Ireland,2009,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2009,Y15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,F10,0,0,0,0,0,0,0,0,3,5,7,7,5,11,3,2,1,1,1,0
Northern Ireland,2008,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,I42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Northern Ireland,2008,K29.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Northern Ireland,2008,K70,0,0,0,0,0,0,0,2,5,11,35,34,24,23,17,9,4,0,0,0
Northern Ireland,2008,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,K86.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Northern Ireland,2008,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,X45,0,0,0,0,0,0,1,3,4,5,3,6,2,2,0,0,0,0,0,0
Northern Ireland,2008,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2008,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,F10,0,0,0,0,1,0,2,3,7,19,15,14,15,9,5,3,1,0,0,0
Northern Ireland,2007,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,I42.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,K70,0,0,0,0,0,0,1,2,11,22,26,21,17,14,12,5,5,1,1,0
Northern Ireland,2007,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,K86.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2007,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
